No;Nama;latitude;longitude;nama_google;isna
501;Kantor Pertanahan Kota Batam, Provinsi Kepulauan Riau;1.1246282;104.058251;Dinas Pertanahan Kota Batam;0
502;Kantor Pertanahan Kabupaten Karimun, Provinsi Kepulauan Riau;1.0314189;103.3758837;Kantor pertanahan Kabupaten Karimun;0
503;Kantor Pertanahan Kabupaten Natuna, Provinsi Kepulauan Riau;3.9594699;108.3942904;Kantor Pertanahan Kabupaten Natuna;0
504;Kantor Pertanahan Kota Tanjungpinang, Provinsi Kepulauan Riau;0.9201497;104.4614145;Kantor Wilayah BPN Provinsi Kepulauan Riau;0
505;Kantor Pertanahan Kabupaten Lingga, Provinsi Kepulauan Riau;-0.2108087;104.6053198;Kantor Pertanahan Kabupaten Lingga;0
506;Kantor Pertanahan Kabupaten Kepulauan Anambas, Provinsi Kepulauan Riau;3.9594699;108.3942904;Kantor Pertanahan Kabupaten Natuna;0
507;Kantor Wilayah Badan Pertanahan Nasional Provinsi Papua Barat;-0.923182;134.0326292;Kanwil BPN Prov Papua Barat;0
508;Kantor Pertanahan Kabupaten Manokwari, Provinsi Papua Barat;-0.8628695;134.0620296;Kantor Pertanahan Kabupaten Manokwari;0
509;Kantor Pertanahan Kabupaten Sorong, Provinsi Papua Barat;-6.1819095;106.8110537;Kanwil BPN DKI Jakarta;0
510;Kantor Pertanahan Kota Sorong, Provinsi Papua Barat;-0.888853;131.2751485;Kantor Pertanahan Kota Sorong;0
511;Kantor Pertanahan Kabupaten Fakfak, Provinsi Papua Barat;-2.9272775;132.3026093;Kantor Pertanahan Kabupaten Fakfak;0
512;Kantor Pertanahan Kabupaten Sorong Selatan, Provinsi Papua Barat;-1.4460081;132.017809;Kantor BPN Sorong Selatan;0
513;Kantor Pertanahan Kabupaten Raja Ampat, Provinsi Papua Barat;-0.4274618;130.8094834;Kantor Pertanahan Kab. Raja Ampat;0
514;Kantor Pertanahan Kabupaten Kaimana, Provinsi Papua Barat;-3.6570818;133.7052944;Kantor Pertanahan Kabupaten Kaimana;0
515;Kantor Pertanahan Kabupaten Teluk Bintuni, Provinsi Papua Barat;-2.1054144;133.5221537;Kantor Pertanahan Kabupaten Teluk Bintuni;0
516;Kantor Pertanahan Kabupaten Tambraw, Provinsi Papua Barat;-0.473508;132.116999;Kantor Pertanahan Kabupaten Tambrauw;0
517;Kantor Pertanahan Kabupaten Teluk Wondama, Provinsi Papua Barat;-2.8247593;134.5302265;Kantor Pertanahan Kabupaten Teluk Wondama;0
