npsn_isian;nama_isian;Jenjang;alamat_jalan;nama_dusun;desa_kelurahan;kecamatan;kabupaten;provinsi;lintang;bujur;latitude;longitude;nama_google;url;isna
69843337;PAUD Bina Kasih Desa Sitolubahal Kec. Purbatua;PAUD Sederajat;SITOLU BAHAL;Sitolubahal;Sitolu Bahal;Kec. Purbatua;Kab. Tapanuli Utara;Prov. Sumatera Utara;0.000000000000;0.000000000000;;;;;1
69928356;PAUD CERDAS;PAUD Sederajat;Budi Luhur;-;Budi Luhur;Kec. Pandan;Kab. Tapanuli Tengah;Prov. Sumatera Utara;0.000000000000;0.000000000000;;;;;1
69934949;PAUD DAME;PAUD Sederajat;Desa Aek Raso Kecamatan Sorkam Barat;-;Aek Raso;Kec. Sorkam Barat;Kab. Tapanuli Tengah;Prov. Sumatera Utara;0.000000000000;0.000000000000;;;;;1
K9997812;LKP NATHASYA;Kursus;Desa Tijue;-;Tijue;Kec. Pidie;Kab. Pidie;Prov. Aceh;0.000000000000;0.000000000000;;;;;1
K5668248;LKP PARAMITA;Kursus;Jl. Pabrik Tenun No.126 C Medan;-;Sei Putih Tengah;Kec. Medan Petisah;Kota Medan;Prov. Sumatera Utara;0.000000000000;0.000000000000;;;;;1
K9997033;LKP Rasa Nusantara;Kursus;JALAN BESAR TUMPATAN;-;Tumpatan;Kec. Beringin;Kab. Deli Serdang;Prov. Sumatera Utara;0.000000000000;0.000000000000;;;;;1
K9997337;LKP Seramoe Mekah;Kursus;Jl. Teumpok Aceh, Lr. III No. 4;-;Kuta Blang;Kec. Banda Sakti;Kota Lhokseumawe;Prov. Aceh;0.000000000000;0.000000000000;;;;;1
K0561300;LKP SHYFA;Kursus;Jl. Nusa Indah 7 No. 109 A Blok 13, Medan;Hevetia Tengah;Helvetia Tengah;Kec. Medan Helvetia;Kota Medan;Prov. Sumatera Utara;3.613.300.000.000;98.640.300.000.000;;;;;1
K9998400;LKP SINAR AGAPE;Kursus;JL PANGLIMA DENAI NO 18 A;AMPLAS;A M P L A S;Kec. Medan Amplas;Kota Medan;Prov. Sumatera Utara;3.542.100.000.000;98.717.500.000.000;;;;;1
K9999840;LKP Vima Modest;Kursus;JL.MENTENG RAYA NO.370;-;Medan Tenggara;Kec. Medan Denai;Kota Medan;Prov. Sumatera Utara;0.000000000000;0.000000000000;;;;;1
10114296;MTs Nurul Islam;SMP Sederajat;JLN KELAPA GADING-KUNING;-;-;Kec. Bambel;Kab. Aceh Tenggara;Prov. Aceh;3.437.400.000.000;97.874.100.000.000;;;;;1
69986863;PAUD ABA Hutagodang;PAUD Sederajat;PAUD/TK AISYAH BUSTANUL ATHFAL;DUSUN I ( SATU );Huta Godang;Kec. Batang Toru;Kab. Tapanuli Selatan;Prov. Sumatera Utara;0.000000000000;0.000000000000;;;;;1
70040239;KB TABINA PULO DULANG;PAUD Sederajat;Gampong Pulo Dulang Kecamatan Lhoksukon Kabupaten Aceh Utara;-;Meunasah Pulo Dolang;Kec. Lhoksukon;Kab. Aceh Utara;Prov. Aceh;5.059.676.200.000;97.307.385.700.000;;;;;1
69812489;KB TERPADU AYEUM MATA;PAUD Sederajat;JALAN TEUPIN BATEE;Buket bata;Buket Bata;Kec. Pante Beudari;Kab. Aceh Timur;Prov. Aceh;0.000000000000;0.000000000000;;;;;1
70042466;KB TERPADU HANAN RAMADANI;PAUD Sederajat;Dusun IV Alue Sunsang;-;Alue Punti;Kec. Rantau Selamat;Kab. Aceh Timur;Prov. Aceh;0.000000000000;0.000000000000;;;;;1
70038131;KB TUNAS BANGSA;PAUD Sederajat;Gampong Lhok Seutuy Kecamatan Baktiya Kabupaten Aceh Utara;-;Lhok Seutui;Kec. Baktiya;Kab. Aceh Utara;Prov. Aceh;0.000000000000;0.000000000000;;;;;1
70036242;KB Yumna;PAUD Sederajat;Jln. KH. Ahmad Dahlan No. 79 RT. 01;-;Guguk Malintang;Kec. Padang Panjang Timur;Kota Padang Panjang;Prov. Sumatera Barat;0.000000000000;0.000000000000;;;;;1
69793335;KELOMPOK BERMAIN POSYANDU PLUS MAWAR PEDULI;PAUD Sederajat;TEUKU LOETAN;Dusun Famili;Alur Tani Ii;Kec. Tamiang Hulu;Kab. Aceh Tamiang;Prov. Aceh;0.000000000000;0.000000000000;;;;;1
K9996828;LKP CYRA;Kursus;Dusun Pondok XIII Kampung Desa Mekar Sawit Kec. Sawit Seberang Kab.Langkat;-;Mekar Sawit;Kec. Sawit Seberang;Kab. Langkat;Prov. Sumatera Utara;0.000000000000;0.000000000000;;;;;1
K9980939;LKP Dirly;Kursus;Jl.Stella Raya Komplek Setia Budi Makmur I No.07;-;Simpang Selayang;Kec. Medan Tuntungan;Kota Medan;Prov. Sumatera Utara;0.000000000000;0.000000000000;;;;;1
K9996936;LKP HASRATI SOUVENIR;Kursus;Gampong Tongperia;-;Tong Peria;Kec. Mutiara Timur;Kab. Pidie;Prov. Aceh;0.000000000000;0.000000000000;;;;;1
69798046;KB SBB BUNDA;PAUD Sederajat;Gampong Matang Panyang Kecamatan Baktiya Barat Kabupaten Aceh Utara;alue patra;Matang Panyang;Kec. Baktiya Barat;Kab. Aceh Utara;Prov. Aceh;0.000000000000;0.000000000000;;;;;1
69798341;KB SBB KARAKTER;PAUD Sederajat;JALAN LAPANG;Punti;Meunasah Asan Ab;Kec. Lhoksukon;Kab. Aceh Utara;Prov. Aceh;-5.443.757.000.000;114.421.127.000.000;;;;;1
70050172;KB SEMANGAT BARU;PAUD Sederajat;Gampong Matang Janeng Kecamatan Tanah Pasir Kabupaten Aceh Utara;-;Matang Janeng;Kec. Tanah Pasir;Kab. Aceh Utara;Prov. Aceh;0.001500000000;0.000100000000;;;;;1
70000784;KB Seribu Benge;PAUD Sederajat;Jl. Blangkejeren - Kutacane;-;Ramung Musara;Kec. Putri Betung;Kab. Gayo Lues;Prov. Aceh;0.000000000000;0.000000000000;;;;;1
69991009;KB Swasta Hidayah Desa Muara Situlen;PAUD Sederajat;Desa Muara Situlen Kec. Babul Makmur;-;Muara Situlen;Kec. Babul Makmur;Kab. Aceh Tenggara;Prov. Aceh;0.000000000000;0.000000000000;;;;;1
69818247;KB TERPADU AL- ZUKHDI;PAUD Sederajat;Gampong Jeungki Kec. Peureulak Timur;T Syik LamKapang;Jeungki;Kec. Peureulak Timur;Kab. Aceh Timur;Prov. Aceh;0.000000000000;0.000000000000;;;;;1
69866475;KB Terpadu al-azhar;PAUD Sederajat;desam meunasah asan;Ingin Jaya;Meunasah Asan;Kec. Madat;Kab. Aceh Timur;Prov. Aceh;5.190.946.000.000;97.500.755.000.000;;;;;1
69974202;KB TERPADU DOA POMA;PAUD Sederajat;DUSUN BLOK A;Blok A;Upt I Snb Pusaka;Kec. Trumon Timur;Kab. Aceh Selatan;Prov. Aceh;2.832.596.300.000;97.787.714.600.000;;;;;1
K5655794;LKP IDA SALON;Kursus;Jl. Karya Link II Beras Basah P.Susu;-;Beras Basah;Kec. Pangkalan Susu;Kab. Langkat;Prov. Sumatera Utara;0.000000000000;0.000000000000;;;;;1
K5669199;LKP MP TATA RIAS;Kursus;Jl. banda Aceh - Medan Km. 123 Lileue;COT TEUNGOH;Blang Lileue;Kec. Mutiara;Kab. Pidie;Prov. Aceh;0.000000000000;0.000000000000;;;;;1
K9999311;LKP NIRMALA BEBY;Kursus;LINGK IV KP LAMA DESA  KAMPUNG LAMA;-;Kampung Lama;Kec. Besitang;Kab. Langkat;Prov. Sumatera Utara;0.000000000000;0.000000000000;;;;;1
K9999796;LKP UNCU BRIDAL LANGKAT;Kursus;DUSUN I JL PRINGGAN DESA PASAR RAWA;Dusun 2 jln.H.kulal;Pasar Rawa;Kec. Gebang;Kab. Langkat;Prov. Sumatera Utara;0.000000000000;0.000000000000;;;;;1
K9990285;LKP VIONA;Kursus;JL. GAPERTA UJUNG NO. 87 B MEDAN;-;Tanjung Gusta;Kec. Medan Helvetia;Kota Medan;Prov. Sumatera Utara;0.000000000000;0.000000000000;;;;;1
K9997975;LKP WINA NIRWANA;Kursus;Jl. Pasar I Tanjung Beringin Kel. Batu Malenggang;-;Batu Malenggang;Kec. Hinai;Kab. Langkat;Prov. Sumatera Utara;0.000000000000;0.000000000000;;;;;1
K5668963;LKP Yuliza Medan;Kursus;Jl. Gaperta Ujung No.71 B;-;Tanjung Gusta;Kec. Medan Helvetia;Kota Medan;Prov. Sumatera Utara;0.000000000000;0.000000000000;;;;;1
69880531;PAUD Al - Ikhlas;PAUD Sederajat;Lhok Asahan;-;LHOK ASAHAN;Kec. Idi Timur;Kab. Aceh Timur;Prov. Aceh;0.000000000000;0.000000000000;;;;;1
69937318;PAUD Al - Madani;PAUD Sederajat;Desa Snb Lapang Kec. Peureulak Timur;CINTA DAMAI;Seuneubok Lapang;Kec. Peureulak Timur;Kab. Aceh Timur;Prov. Aceh;0.000000000000;0.000000000000;;;;;1
69812539;PAUD AL-NAMIRA;PAUD Sederajat;MESJID BAITUL MUTTAQIN;-;Gampong Bayeun;Kec. Rantau Selamat;Kab. Aceh Timur;Prov. Aceh;4.577.794.000.000;97.904.577.000.000;;;;;1
70009933;PAUD AMANAH SAMAERI;PAUD Sederajat;Jl. Pintu Air Dusun III Desa Kebun Pisang;-;Kebun Pisang;Kec. Badiri;Kab. Tapanuli Tengah;Prov. Sumatera Utara;0.000000000000;0.000000000000;;;;;1
69871039;PAUD AN NUR;PAUD Sederajat;DUSUN PELITA;Pelita;Suka Damai;Kec. Banda Mulya;Kab. Aceh Tamiang;Prov. Aceh;4.475.246.600.000;98.194.111.900.000;;;;;1
69925093;PAUD ANDESBOL 2;PAUD Sederajat;Bonalumban;-;Bonalumban;Kec. Tukka;Kab. Tapanuli Tengah;Prov. Sumatera Utara;0.000000000000;0.000000000000;;;;;1
69971322;PAUD ANSHAR;PAUD Sederajat;Jalan Blang Kuta;-;Rheum Barat;Kec. Simpang Mamplam;Kab. Bireuen;Prov. Aceh;5.201.400.000.000;96.393.600.000.000;;;;;1
69919969;PAUD ARAFAH;PAUD Sederajat;JL.Batu Mandi;-;Lubuk Tukko;Kec. Pandan;Kab. Tapanuli Tengah;Prov. Sumatera Utara;0.000000000000;0.000000000000;;;;;1
70043686;PAUD Baharuddin Alkhalifi;PAUD Sederajat;Meja Batu Lingkungan Sironcitan;-;KELURAHAN PARDOMUAN;Kec. Angkola Selatan;Kab. Tapanuli Selatan;Prov. Sumatera Utara;0.000000000000;0.000000000000;;;;;1
